N,n,q,h,all,tune,hold,both
60,10,0.3333333333333333,7,11.03846959110335,11.867974524271219,9.253261488536424,True
60,10,0.3333333333333333,10,10.049809410387645,9.887617342376487,10.403846930657522,True
60,10,0.3333333333333333,14,12.104104818283501,12.365213318023095,11.537581416755627,True
60,10,0.4,3,6.244224413987842,9.2183500906293,0.044650092906262095,True
60,10,0.4,5,11.531829533082472,16.107903735768115,2.180827161137633,True
60,10,0.4,7,13.875201874148967,17.178336241408697,7.000518618887752,True
60,10,0.4,10,11.280100834921836,12.867907869728889,7.899165016561804,True
60,10,0.4,14,13.057721953609548,13.70937395789027,11.651499831773782,True
60,15,0.2,3,12.651810311677725,16.892570292786544,3.941396412070275,True
60,15,0.2,5,14.453829426295407,19.887686125184235,3.4574607336449015,True
60,15,0.2,7,12.94870505480834,16.993720364804823,4.617151556364796,True
60,15,0.2,10,10.79329385676202,13.183429045432016,5.761447272055942,True
60,15,0.2,14,10.272703442621989,11.979422451698252,6.645417481608895,True
60,15,0.25,3,9.463865395432691,11.543267945468338,5.068659009311838,True
60,15,0.25,5,15.071382543642864,18.101113539475744,8.739706348093602,True
60,15,0.25,7,15.638186712068315,17.414993415087565,11.861283488746,True
60,15,0.25,10,12.91610489071353,13.636559438130469,11.362922688364296,True
60,15,0.25,14,11.764914094703949,12.178843557978691,10.86876925836635,True
60,15,0.3333333333333333,3,10.975671925547159,11.555361266698561,9.723673145974088,True
60,15,0.3333333333333333,5,17.797591646527323,20.43062431568272,12.26106669714011,True
60,15,0.3333333333333333,7,18.380332440427406,20.474325937165226,13.945278858130749,True
60,15,0.3333333333333333,10,16.747768584538257,18.60198476089925,12.809495409033111,True
60,15,0.3333333333333333,14,15.291920856455166,16.04657240844496,13.665439022001834,True
60,15,0.4,3,14.884163565737918,14.403801609617961,15.937247202602322,True
60,15,0.4,5,18.349260559772173,21.17757730445089,12.416304354152597,True
60,15,0.4,7,19.96755583526253,23.297223030029013,13.024307973684035,True
60,15,0.4,10,18.864090024402415,21.667670366747238,12.980191494994475,True
60,15,0.4,14,17.456950749651124,19.05429217098138,14.052154443756937,True
60,20,0.2,3,11.386670351021655,15.320667306243951,3.277674841624356,True
60,20,0.2,5,14.255096194274586,19.194890239575614,4.1944596884375684,True
60,20,0.2,7,12.276720765085681,15.427842028257421,5.708929315587219,True
60,20,0.2,10,10.113526888374146,11.949035088215698,6.219767245127339,True
60,20,0.2,14,9.699550505335441,11.248071567564487,6.401480874730869,True
60,20,0.25,3,14.663235817957787,18.59287045071052,6.550284158154884,True
60,20,0.25,5,18.74736281021896,25.742646615717725,4.8307952750515915,True
60,20,0.25,7,16.92147721074624,22.02664716289169,6.530752273092344,True
60,20,0.25,10,13.730682100727275,16.81198791812506,7.29879058014804,True
60,20,0.25,14,12.37701510448388,14.675052892064034,7.5306253863893335,True
60,20,0.3333333333333333,3,13.939685684357016,16.748196818722683,8.055103119710893,True
60,20,0.3333333333333333,5,25.09865941602567,31.041938720284534,13.071968514083586,True
60,20,0.3333333333333333,7,25.367578157356064,31.278452384106625,13.399979541851682,True
60,20,0.3333333333333333,10,20.996856478373726,25.693706980420195,11.366820683737577,True
60,20,0.3333333333333333,14,17.135379495603598,20.107109151168846,10.915731189465362,True
60,20,0.4,3,14.928880645613996,21.44506020563359,1.922797463271464,True
60,20,0.4,5,22.008778895138658,30.17551320716074,5.953169657546975,True
60,20,0.4,7,23.289499170938743,31.75710393952884,6.6849996472960305,True
60,20,0.4,10,19.986611242777386,26.384685407023678,7.151887932706913,True
60,20,0.4,14,15.4779486234772,19.912075918072514,6.380780340689762,True
60,30,0.2,3,16.427175994410526,23.598756182065994,2.2165822996505824,True
60,30,0.2,5,17.223975607644725,23.838951305590548,4.015448200013405,True
60,30,0.2,7,15.415938211737723,21.251978269867266,3.660288687107993,True
60,30,0.2,10,10.499168579824314,13.46116186194022,4.313593226900858,True
60,30,0.2,14,7.151343622762396,8.750823495462257,3.7490542377146996,True
60,30,0.25,3,19.606643246267176,28.075000440605113,3.0522109971987454,True
60,30,0.25,5,20.395881344680667,28.795657991801214,3.950632073104754,True
60,30,0.25,7,18.455989493427616,25.66572199245092,4.1542946893579735,True
60,30,0.25,10,13.060292420738428,17.634217645208782,3.705556080821504,True
60,30,0.25,14,9.051723017729941,11.795380192966931,3.3075493174234083,True
60,30,0.3333333333333333,3,22.215227150876736,38.03537109254413,-6.243785181307127,False
