ts,bar,mkt_ret,eq_A_neutral@1x,eq_A_neutral@3x,eq_B_dispersion@1x,eq_B_dispersion@3x,eq_C_idxhedge@1x,eq_C_idxhedge@3x,eq_D_momsharpe@1x,eq_D_momsharpe@3x,eq_E_mom720@1x,eq_E_mom720@3x
2026-09-12 17:40:07,2026-09-12 16:00,0.00000000,10011.7386,10035.1060,10000.0000,10000.0000,10000.1404,10000.3280,9996.6052,9989.6086,10015.1018,10045.0613
2026-09-12 17:45:24,2026-09-12 16:00,0.00000000,10011.7889,10035.2573,10000.0000,10000.0000,10000.2266,10000.5863,9996.6810,9989.8359,10015.1223,10045.1231
2026-09-12 17:50:41,2026-09-12 16:00,0.00000000,10011.8392,10035.4086,10000.0000,10000.0000,10000.3127,10000.8447,9996.7568,9990.0632,10015.1428,10045.1848
2026-09-12 17:55:57,2026-09-12 16:00,0.00000000,10011.8895,10035.5599,10000.0000,10000.0000,10000.3988,10001.1030,9996.8326,9990.2904,10015.1633,10045.2466
2026-09-12 18:01:05,2026-09-12 17:00,-0.00201779,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:06:14,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:11:23,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:16:37,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:21:48,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:26:57,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:32:06,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:37:15,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:42:23,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:47:33,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:52:42,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 18:57:51,2026-09-12 17:00,0.00000000,9989.5634,9968.4231,10000.0000,10000.0000,9984.8441,9954.4358,9991.1745,9973.3271,10003.7034,10010.7634
2026-09-12 19:03:00,2026-09-12 18:00,-0.00329492,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:08:09,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:13:18,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:18:27,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:23:35,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:28:45,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:33:54,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:39:04,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:44:14,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:49:23,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:54:32,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 19:59:41,2026-09-12 18:00,0.00000000,9974.7832,9924.1764,10000.0000,10000.0000,9976.6547,9929.9423,9983.1710,9949.3593,9993.0490,9978.7777
2026-09-12 20:04:50,2026-09-12 19:00,-0.00251425,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:10:00,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:15:10,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:20:19,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:25:28,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:30:37,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:35:47,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
2026-09-12 20:40:55,2026-09-12 19:00,0.00000000,9966.3214,9898.9198,10000.0000,10000.0000,9967.5599,9902.7857,9980.9535,9942.7294,9994.0880,9981.8902
